University_Name,University_Name_Clean,Total_Enrollment,State,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
Guilford Technical Community College,Guilford Technical Community College,12430,North Carolina,0.80%,3.90%,41.80%,6.70%,0.10%,1.90%,55.10%,1.10%,2.40%,41.40%,56.90%,43.10%
Brookhaven College,Brookhaven College,12403,Texas,0.40%,10.00%,18.40%,36.10%,0.00%,1.30%,66.20%,0.40%,3.60%,29.70%,58.40%,41.60%
City University of New York Herbert H. Lehman College,City University New York Herbert H. Lehman College,12398,New York,0.20%,6.30%,27.80%,50.60%,0.20%,0.50%,85.50%,3.70%,0.00%,10.90%,68.50%,31.50%
Golden West College,Golden West College,12394,California,0.30%,27.60%,2.10%,31.50%,0.50%,4.40%,66.40%,1.70%,1.20%,30.60%,52.90%,47.10%
Touro College (N.Y.),Touro College (N.Y.),12381,New York,0.30%,8.00%,14.20%,10.00%,0.20%,0.00%,32.60%,4.10%,8.20%,55.00%,70.60%,29.40%
Yale University,Yale University,12336,Connecticut,0.40%,12.80%,5.50%,7.60%,0.00%,4.40%,30.80%,19.40%,2.00%,47.90%,49.00%,51.00%
Washtenaw Community College,Washtenaw Community College,12295,Michigan,0.50%,3.40%,16.50%,5.80%,0.20%,4.40%,30.80%,2.10%,3.20%,64.00%,52.10%,47.90%
Onondaga Community College,Onondaga Community College,12271,New York,1.10%,2.80%,12.50%,4.80%,0.10%,2.80%,24.10%,0.60%,18.90%,56.40%,52.20%,47.80%
University of West Georgia,University West Georgia,12206,Georgia,0.10%,1.10%,35.10%,4.10%,0.10%,2.90%,43.40%,1.40%,1.10%,54.00%,64.50%,35.50%
University of Notre Dame,University Notre Dame,12179,Indiana,0.20%,4.70%,3.10%,9.40%,0.00%,3.70%,21.00%,9.80%,5.20%,64.00%,45.50%,54.50%
Hudson Valley Community College,Hudson Valley Community College,12177,New York,0.40%,4.60%,9.80%,5.10%,0.30%,2.30%,22.50%,0.30%,3.20%,74.00%,47.40%,52.60%
University of Wisconsin at Whitewater,University Wisconsin Whitewater,12176,Wisconsin,0.30%,1.90%,4.60%,4.70%,0.10%,3.20%,14.80%,1.50%,0.20%,83.60%,50.50%,49.50%
Butte College,Butte College,12161,California,1.70%,5.50%,2.50%,19.20%,0.50%,2.20%,31.60%,1.50%,7.00%,59.90%,52.00%,48.00%
California State University at San Marcos,California State University San Marcos,12154,California,0.40%,9.50%,3.30%,38.70%,0.40%,5.40%,57.80%,2.70%,6.40%,33.10%,60.80%,39.20%
Lindenwood University,Lindenwood University,12151,Missouri,0.40%,0.50%,16.60%,3.10%,0.20%,2.50%,23.20%,9.80%,10.70%,56.20%,58.70%,41.30%
"City Colleges of Chicago, Wilbur Wright College","City Colleges Chicago, Wilbur Wright College",12146,Illinois,0.20%,6.70%,9.40%,56.50%,0.30%,0.70%,73.80%,0.10%,2.70%,23.30%,59.40%,40.60%
Texas A&M University at Commerce,Texas A&M University Commerce,12111,Texas,0.50%,2.70%,20.00%,13.90%,0.10%,4.30%,41.60%,6.00%,1.50%,50.90%,59.90%,40.10%
Phoenix College,Phoenix College,12107,Arizona,2.70%,3.30%,10.10%,45.40%,0.20%,1.50%,63.20%,0.50%,9.70%,26.60%,62.10%,37.90%
Fayetteville Technical Community College,Fayetteville Technical Community College,12103,North Carolina,2.40%,1.60%,41.90%,9.30%,0.50%,3.60%,59.30%,0.70%,3.50%,36.60%,60.10%,39.90%
Southeast Missouri State University,Southeast Missouri State University,12087,Missouri,0.50%,1.00%,8.50%,1.60%,0.00%,0.10%,11.60%,8.80%,5.70%,73.90%,57.30%,42.70%
Middlesex County College,Middlesex County College,12059,New Jersey,0.30%,12.50%,11.30%,28.70%,0.80%,2.70%,56.30%,2.30%,9.40%,31.90%,53.20%,46.80%
Camden County College,Camden County College,12051,New Jersey,1.30%,5.00%,21.20%,14.70%,0.30%,0.70%,43.10%,1.70%,4.90%,50.20%,56.90%,43.10%
University of Northern Colorado,University Northern Colorado,12050,Colorado,0.30%,1.60%,3.60%,14.70%,0.20%,3.10%,23.50%,3.10%,13.80%,59.70%,65.60%,34.40%
Central Connecticut State University,Central Connecticut State University,12037,Connecticut,0.20%,3.60%,10.20%,11.30%,0.10%,2.40%,27.70%,1.70%,2.80%,67.80%,50.10%,49.90%
Arkansas Tech University,Arkansas Tech University,12002,Arkansas,1.00%,1.30%,7.70%,6.10%,0.10%,2.60%,18.70%,3.70%,0.00%,77.60%,55.70%,44.30%
State University of New York Empire State College,State University New York Empire State College,11952,New York,0.60%,2.00%,14.40%,10.70%,0.30%,1.90%,30.00%,3.10%,5.20%,61.70%,61.70%,38.30%
University of Texas at Brownsville and Texas Southmost College,University Texas Brownsville and Texas Southmost College,11943,Texas,0.10%,1.00%,0.80%,88.80%,0.00%,0.00%,90.70%,4.10%,0.30%,5.00%,57.60%,42.40%
University of Northern Iowa,University Northern Iowa,11928,Iowa,0.20%,0.90%,2.80%,3.20%,0.10%,1.80%,8.90%,5.20%,2.30%,83.60%,58.20%,41.80%
American InterContinental University Online,American InterContinental University Online,11900,Illinois,0.90%,0.90%,45.50%,5.20%,0.60%,3.20%,56.30%,0.10%,9.30%,34.30%,67.50%,32.50%
San Diego Miramar College,San Diego Miramar College,11876,California,0.40%,22.50%,5.10%,24.40%,0.90%,6.20%,59.50%,0.40%,3.00%,37.20%,44.20%,55.80%
J. Sargeant Reynolds Community College,J. Sargeant Reynolds Community College,11861,Virginia,0.50%,4.50%,35.90%,5.00%,0.20%,3.50%,49.60%,0.80%,1.10%,48.60%,61.30%,38.70%
Hinds Community College,Hinds Community College,11839,Mississippi,0.30%,0.80%,55.70%,1.70%,0.00%,2.00%,60.50%,0.90%,1.50%,37.10%,62.50%,37.50%
University of Denver,University Denver,11809,Colorado,0.40%,3.30%,3.40%,8.70%,0.10%,2.80%,18.70%,10.70%,3.20%,67.40%,56.30%,43.70%
Central Washington University,Central Washington University,11799,Washington,0.60%,4.50%,3.10%,12.10%,1.20%,6.00%,27.50%,0.90%,9.60%,62.10%,52.10%,47.90%
University ion County College,University ion County College,11781,New Jersey,0.40%,3.80%,27.10%,33.40%,0.40%,0.80%,65.90%,3.00%,11.00%,20.20%,61.70%,38.30%
University of Colorado at Colorado Springs,University Colorado Colorado Springs,11761,Colorado,0.40%,3.10%,3.60%,14.10%,0.30%,5.90%,27.50%,2.80%,2.80%,67.00%,52.80%,47.20%
Marquette University,Marquette University,11745,Wisconsin,0.20%,4.50%,3.90%,8.10%,0.10%,2.80%,19.70%,5.10%,4.10%,71.10%,52.50%,47.50%
University of Idaho,University Idaho,11702,Idaho,1.00%,1.40%,1.20%,7.90%,0.20%,3.20%,14.90%,6.10%,3.40%,75.70%,46.80%,53.20%
University of Central Arkansas,University Central Arkansas,11698,Arkansas,0.50%,1.60%,17.20%,3.90%,0.10%,3.00%,26.20%,4.90%,1.20%,67.70%,61.10%,38.90%
Tarleton State University,Tarleton State University,11681,Texas,0.60%,1.00%,8.20%,15.30%,0.10%,2.90%,28.10%,0.60%,0.80%,70.40%,61.00%,39.00%
University of Tennessee at Chattanooga,University Tennessee Chattanooga,11670,Tennessee,0.20%,1.90%,10.60%,3.30%,0.10%,7.30%,23.40%,1.50%,1.10%,74.00%,55.20%,44.80%
University of Arkansas at Little Rock,University Arkansas Little Rock,11645,Arkansas,0.40%,2.20%,22.50%,6.10%,0.00%,7.10%,38.30%,4.10%,0.90%,56.70%,59.50%,40.50%
Triton College,Triton College,11577,Illinois,0.20%,3.00%,16.90%,37.90%,0.20%,1.10%,59.30%,0.00%,8.00%,32.70%,54.40%,45.60%
Lorain County Community College,Lorain County Community College,11569,Ohio,0.40%,1.30%,10.10%,5.50%,0.20%,6.20%,23.80%,0.90%,1.40%,73.90%,62.40%,37.60%
Valdosta State University,Valdosta State University,11563,Georgia,0.30%,1.10%,33.40%,4.20%,0.10%,2.90%,42.00%,2.50%,0.40%,55.10%,61.20%,38.80%
Victor Valley College,Victor Valley College,11557,California,0.30%,2.20%,12.40%,48.40%,0.30%,4.60%,68.30%,0.10%,0.90%,30.80%,57.00%,43.00%
Schoolcraft College,Schoolcraft College,11542,Michigan,0.70%,3.70%,14.80%,3.80%,0.10%,2.10%,25.20%,1.20%,7.40%,66.20%,54.20%,45.80%
South University -Savannah Online (Ga.),South University Savannah Online (Ga.),11522,Georgia,1.00%,1.90%,32.90%,9.00%,0.60%,0.00%,45.40%,0.00%,7.60%,47.00%,78.60%,21.40%
City University of New York Bronx Community College,City University New York Bronx Community College,11506,New York,0.20%,2.70%,28.00%,63.60%,0.30%,0.60%,95.40%,2.20%,0.00%,2.40%,56.30%,43.70%
Essex County College,Essex County College,11468,New Jersey,0.20%,3.00%,48.40%,24.60%,0.20%,0.60%,77.10%,7.90%,6.20%,8.90%,58.50%,41.50%
Western Illinois University,Western Illinois University,11458,Illinois,0.10%,1.00%,16.60%,8.60%,0.10%,2.20%,28.50%,4.50%,3.00%,64.10%,51.00%,49.00%
College of Charleston,College Charleston,11456,South Carolina,0.20%,1.60%,7.20%,4.20%,0.10%,3.50%,16.70%,1.50%,1.30%,80.50%,64.00%,36.00%
Midlands Technical College,Midlands Technical College,11424,South Carolina,0.50%,2.20%,36.10%,3.70%,0.20%,2.70%,45.50%,0.00%,2.50%,51.90%,59.40%,40.60%
Savannah College of Art and Design,Savannah College Art and Design,11347,Georgia,0.50%,4.50%,11.20%,7.60%,0.20%,0.10%,24.20%,19.40%,4.90%,51.60%,64.40%,35.60%
University of Dayton,University Dayton,11343,Ohio,0.10%,1.40%,3.70%,2.70%,0.00%,1.10%,9.00%,15.70%,3.00%,72.40%,47.70%,52.30%
Tennessee Technological University,Tennessee Technological University,11339,Tennessee,0.10%,1.30%,3.70%,2.20%,0.00%,2.20%,9.60%,11.00%,0.40%,79.00%,44.60%,55.40%
Massachusetts Institute of Technology,Massachusetts Institute Technology,11319,Massachusetts,0.20%,16.20%,3.00%,9.60%,0.00%,3.70%,32.70%,29.20%,5.10%,33.10%,37.30%,62.70%
Ohlone College,Ohlone College,11318,California,0.20%,31.50%,4.00%,19.40%,0.80%,4.60%,60.40%,3.10%,17.20%,19.30%,47.00%,53.00%
Rutgers University at Newark,Rutgers University Newark,11314,New Jersey,0.10%,18.40%,15.80%,18.70%,0.80%,2.40%,56.20%,7.30%,5.70%,30.80%,49.00%,51.00%
Coastline Community College,Coastline Community College,11313,California,0.70%,22.30%,12.30%,27.00%,0.40%,3.70%,66.40%,0.80%,2.20%,30.70%,41.10%,58.90%
University of Maine,University of Maine,11286,Maine,1.20%,1.30%,1.90%,2.10%,0.00%,2.30%,8.80%,4.80%,9.30%,77.00%,51.00%,49.00%
Mercy College,Mercy College,11272,New York,0.20%,3.80%,23.60%,28.50%,0.20%,1.70%,58.00%,0.90%,4.60%,36.40%,72.70%,27.30%
Southern Methodist University,Southern Methodist University,11272,Texas,0.30%,6.00%,5.90%,10.40%,0.10%,2.60%,25.30%,13.20%,1.10%,60.40%,48.00%,52.00%
Pasco-Hernando Community College,Pasco Hernando Community College,11263,Florida,0.40%,2.20%,5.00%,17.20%,0.30%,2.70%,27.70%,0.20%,2.20%,69.80%,60.90%,39.10%
Texas A&M University at Corpus Christi,Texas A&M University Corpus Christi,11256,Texas,0.40%,2.40%,5.40%,44.70%,0.00%,1.70%,54.50%,4.90%,1.10%,39.40%,60.10%,39.90%
Louisiana Tech University,Louisiana Tech University,11225,Louisiana,0.40%,1.20%,12.80%,1.10%,0.10%,1.70%,17.30%,5.10%,8.40%,69.20%,48.80%,51.20%
Arizona State University -Downtown Phoenix,Arizona State University Downtown Phoenix,11216,Arizona,2.30%,4.40%,6.20%,25.40%,0.30%,3.70%,42.30%,2.10%,0.80%,54.70%,67.60%,32.40%
Murray State University,Murray State University,11207,Kentucky,0.20%,0.90%,6.90%,1.70%,0.10%,1.50%,11.30%,7.40%,1.60%,79.70%,58.60%,41.40%
Santiago Canyon College,Santiago Canyon College,11202,California,0.20%,7.20%,1.80%,45.70%,0.20%,4.00%,59.00%,0.60%,3.80%,36.60%,41.00%,59.00%
Bridgewater State University,Bridgewater State University,11187,Massachusetts,0.20%,1.90%,8.30%,5.50%,0.10%,2.60%,18.60%,0.80%,4.00%,76.60%,60.70%,39.30%
Tyler Junior College,Tyler Junior College,11168,Texas,0.60%,1.40%,22.80%,16.00%,0.10%,2.20%,42.90%,0.80%,0.70%,55.60%,58.90%,41.10%
Northcentral University,Northcentral University,11160,Arizona,0.80%,1.90%,25.50%,5.40%,0.50%,3.40%,37.50%,0.00%,21.60%,40.90%,62.80%,37.20%
Truckee Meadows Community College,Truckee Meadows Community College,11106,Nevada,1.40%,5.60%,2.20%,24.70%,0.10%,3.30%,37.20%,0.40%,1.60%,60.70%,55.40%,44.60%
Chemeketa Community College,Chemeketa Community College,11101,Oregon,1.70%,1.70%,1.20%,21.60%,0.70%,3.50%,30.40%,0.70%,12.00%,56.80%,55.70%,44.30%
University of Minnesota at Duluth,University Minnesota Duluth,11093,Minnesota,1.00%,3.00%,1.90%,2.10%,0.10%,2.50%,10.60%,2.70%,5.30%,81.50%,47.00%,53.00%
Buffalo State College,Buffalo State College,11083,New York,0.40%,2.30%,22.00%,10.00%,0.10%,2.90%,37.80%,5.60%,0.60%,56.00%,59.00%,41.00%
University of Rochester,University Rochester,11060,New York,0.30%,8.30%,4.40%,4.80%,0.00%,2.20%,20.00%,23.60%,8.30%,48.10%,50.90%,49.10%
Polk State College,Polk State College,11060,Florida,0.30%,2.60%,16.50%,18.20%,0.10%,2.30%,40.00%,0.80%,3.60%,55.60%,64.10%,35.90%
Morehead State University,Morehead State University,11052,Kentucky,0.20%,0.40%,3.70%,1.50%,0.10%,1.30%,7.10%,1.30%,1.40%,90.20%,60.60%,39.40%
William Paterson University of New Jersey,William Paterson University New Jersey,11048,New Jersey,0.10%,6.40%,13.40%,24.80%,0.20%,2.30%,47.20%,1.00%,4.60%,47.20%,57.50%,42.50%
Allan Hancock College,Allan Hancock College,11047,California,0.70%,4.10%,2.80%,53.40%,0.50%,3.10%,64.40%,0.20%,0.00%,35.40%,51.20%,48.80%
Hofstra University,Hofstra University,10953,New York,0.30%,8.20%,8.30%,11.40%,0.70%,1.80%,30.70%,9.80%,5.50%,54.00%,56.00%,44.00%
Bluegrass Community and Technical College,Bluegrass Community and Technical College,10952,Kentucky,0.30%,1.60%,12.10%,4.30%,0.20%,2.80%,21.30%,1.50%,1.60%,75.60%,58.20%,41.80%
ECPI College of Technology,ECPI College Technology,10932,Virginia,0.70%,3.10%,40.90%,8.20%,0.20%,2.70%,55.80%,0.00%,4.80%,39.40%,57.80%,42.20%
Elgin Community College,Elgin Community College,10929,Illinois,0.30%,6.30%,4.30%,38.70%,0.10%,2.20%,51.90%,0.30%,2.70%,45.10%,54.60%,45.40%
Clark College,Clark College,10911,Washington,0.80%,3.50%,2.00%,8.70%,0.60%,7.60%,23.20%,1.10%,6.40%,69.30%,56.90%,43.10%
Tufts University,Tufts University,10907,Massachusetts,0.10%,12.40%,3.40%,5.40%,0.00%,3.70%,25.10%,10.80%,9.90%,54.20%,54.50%,45.50%
Waubonsee Community College,Waubonsee Community College,10904,Illinois,0.10%,3.20%,6.90%,34.60%,0.00%,2.00%,46.90%,0.00%,3.10%,50.00%,56.20%,43.80%
Georgia Gwinnett College,Georgia Gwinnett College,10828,Georgia,0.10%,8.80%,31.20%,15.00%,0.10%,3.80%,59.00%,1.70%,1.00%,38.30%,54.70%,45.30%
Southern Connecticut State University,Southern Connecticut State University,10825,Connecticut,0.20%,2.50%,14.20%,10.30%,0.00%,2.10%,29.30%,0.50%,8.60%,61.50%,63.70%,36.30%
Pennsylvania State University -World Campus,Pennsylvania State University World,10805,Pennsylvania,0.20%,4.30%,6.90%,7.50%,0.20%,2.40%,21.50%,3.00%,3.80%,71.60%,48.50%,51.50%
Calhoun Community College,Calhoun Community College,10802,Alabama,1.70%,3.50%,18.00%,4.20%,0.10%,4.00%,31.40%,0.60%,1.60%,66.40%,56.00%,44.00%
Park University,Park University,10792,Missouri,0.70%,2.50%,18.70%,12.40%,0.40%,2.80%,37.60%,1.40%,0.00%,61.10%,47.80%,52.20%
Case Western Reserve University,Case Western Reserve University,10771,Ohio,0.10%,14.30%,5.20%,4.10%,0.00%,2.50%,26.30%,18.80%,4.90%,49.90%,49.90%,50.10%
North Lake College,North Lake College,10744,Texas,0.40%,11.30%,19.30%,37.20%,0.20%,1.20%,69.50%,0.50%,4.50%,25.50%,53.90%,46.10%
Villanova University,Villanova University,10735,Pennsylvania,0.10%,6.20%,5.40%,6.50%,0.10%,1.90%,20.30%,3.30%,3.10%,73.30%,51.60%,48.40%
North Carolina A&T State University,North Carolina A & T State University,10725,North Carolina,0.30%,1.00%,79.80%,2.30%,0.00%,2.60%,86.00%,4.30%,3.70%,6.00%,54.80%,45.20%
University of Wisconsin at Eau Claire,University Wisconsin Eau Claire,10721,Wisconsin,0.30%,3.60%,0.70%,2.10%,0.00%,1.70%,8.50%,2.30%,0.10%,89.10%,59.80%,40.20%
Cincinnati State Technical and Community College,Cincinnati State Technical and Community College,10707,Ohio,0.40%,1.50%,27.30%,2.00%,0.10%,2.50%,33.70%,1.40%,8.60%,56.30%,55.00%,45.00%
Argosy University Online Programs,Argosy University Online Programs,10703,Arizona,1.40%,0.70%,34.40%,8.40%,1.10%,0.00%,46.10%,0.00%,6.40%,47.60%,71.40%,28.60%
University of San Francisco,University San Francisco,10689,California,0.20%,17.60%,4.30%,18.00%,0.60%,5.90%,46.70%,16.10%,4.60%,32.70%,62.90%,37.10%
University of Wisconsin at La Crosse,University Wisconsin La Crosse,10669,Wisconsin,0.20%,2.40%,0.80%,2.90%,0.10%,2.10%,8.40%,3.00%,0.10%,88.50%,57.20%,42.80%
College of the Sequoias,College Sequoias,10647,California,0.50%,4.40%,2.60%,62.20%,0.20%,3.20%,73.00%,0.20%,1.30%,25.50%,56.10%,43.90%
New Jersey Institute of Technology,New Jersey Institute Technology,10646,New Jersey,0.10%,17.90%,8.40%,16.40%,0.00%,2.50%,45.30%,16.90%,10.20%,27.60%,25.00%,75.00%
West Los Angeles College,West Los Angeles College,10641,California,0.30%,5.30%,30.00%,42.20%,0.20%,3.60%,81.50%,2.10%,3.80%,12.60%,58.40%,41.60%
"City Colleges of Chicago, Harry S. Truman College","City Colleges Chicago, Harry S. Truman College",10601,Illinois,0.20%,13.30%,23.60%,39.60%,0.20%,1.00%,78.00%,0.00%,2.30%,19.60%,58.40%,41.60%
Oakton Community College,Oakton Community College,10589,Illinois,0.20%,17.90%,5.80%,15.80%,0.80%,2.80%,43.20%,0.00%,4.70%,52.10%,52.00%,48.00%
El Centro College,El Centro College,10549,Texas,0.40%,4.30%,29.50%,40.40%,0.10%,0.90%,75.60%,0.20%,3.40%,20.80%,66.60%,33.40%
Laney College,Laney College,10548,California,0.30%,26.20%,25.30%,19.70%,0.50%,5.30%,77.20%,0.80%,5.30%,16.70%,54.80%,45.20%
Southwestern Illinois College,Southwestern Illinois College,10545,Illinois,0.30%,1.20%,21.60%,5.00%,0.20%,5.00%,33.20%,0.00%,4.00%,62.80%,55.80%,44.20%
Northampton Community College,Northampton Community College,10531,Pennsylvania,0.30%,2.50%,11.20%,19.70%,0.20%,2.30%,36.20%,0.80%,1.80%,61.20%,59.70%,40.30%
Fox Valley Technical College,Fox Valley Technical College,10519,Wisconsin,1.20%,4.10%,2.20%,3.90%,0.10%,0.30%,11.90%,0.50%,11.20%,76.40%,48.00%,52.00%
St. Philip's College,St Philip's College,10514,Texas,0.40%,2.70%,10.50%,51.50%,0.20%,3.20%,68.50%,0.40%,2.00%,29.00%,56.10%,43.90%
New School,New School,10477,New York,0.10%,8.00%,6.30%,10.10%,0.10%,3.40%,27.90%,31.70%,5.30%,35.10%,68.70%,31.30%
Del Mar College,Del Mar College,10439,Texas,0.30%,1.80%,2.90%,63.40%,0.20%,3.10%,71.70%,0.20%,0.90%,27.30%,56.10%,43.90%
Thomas Nelson Community College,Thomas Nelson Community College,10436,Virginia,0.40%,3.00%,35.60%,6.20%,0.40%,5.20%,50.80%,0.10%,1.00%,48.10%,59.80%,40.20%
Northeast Wisconsin Technical College,Northeast Wisconsin Technical College,10406,Wisconsin,2.40%,2.90%,2.30%,5.20%,0.00%,1.60%,14.40%,0.00%,0.00%,85.60%,58.50%,41.50%
Arapahoe Community College,Arapahoe Community College,10401,Colorado,0.60%,3.30%,2.70%,16.00%,0.20%,3.70%,26.60%,0.80%,7.70%,64.90%,54.40%,45.60%
Western Carolina University,Western Carolina University,10382,North Carolina,0.80%,1.30%,6.40%,4.80%,0.10%,3.10%,16.50%,2.70%,0.90%,79.80%,56.30%,43.70%
Amarillo College,Amarillo College,10336,Texas,1.30%,2.90%,5.10%,38.10%,0.00%,0.00%,47.50%,0.00%,0.80%,51.70%,61.50%,38.50%
Pensacola State College,Pensacola State College,10317,Florida,0.80%,2.70%,15.10%,5.60%,0.40%,5.60%,30.20%,0.30%,1.10%,68.40%,60.40%,39.60%
"State College of Florida, Manatee-Sarasota","State College Florida, Manatee Sarasota",10314,Florida,0.30%,2.50%,8.90%,13.80%,0.10%,2.00%,27.50%,1.50%,4.50%,66.60%,61.70%,38.30%
Illinois Central College,Illinois Central College,10296,Illinois,0.30%,1.90%,10.60%,4.40%,0.20%,2.40%,19.70%,0.00%,5.10%,75.20%,54.70%,45.30%
Community College of Denver,Community College Denver,10296,Colorado,1.20%,5.20%,12.80%,25.20%,0.20%,4.30%,49.00%,6.00%,11.10%,33.90%,56.50%,43.50%
Northeastern Illinois University,Northeastern Illinois University,10275,Illinois,0.20%,8.80%,10.20%,31.70%,0.30%,1.60%,52.80%,5.40%,2.60%,39.10%,56.90%,43.10%
NA,NA,10265,NA,5.50%,11.70%,85.80%,27.20%,6.90%,15.30%,96.30%,17.70%,77.90%,85.40%,83.70%,16.30%
Florida A&M University,Florida Agricultural and Mechanical University,10241,Florida,0.20%,1.20%,87.50%,2.40%,0.00%,0.20%,91.50%,1.30%,0.00%,7.20%,62.00%,38.00%
Southwest Tennessee Community College,Southwest Tennessee Community College,10227,Tennessee,0.40%,2.50%,59.50%,4.20%,0.10%,2.30%,69.00%,1.40%,0.50%,29.10%,61.70%,38.30%
College of Western Idaho,College Western Idaho,10217,Idaho,1.10%,1.90%,1.70%,14.40%,0.50%,2.10%,21.70%,0.10%,9.60%,68.70%,58.00%,42.00%
Merced College,Merced College,10214,California,0.40%,9.90%,3.50%,57.50%,0.40%,2.80%,74.50%,0.80%,1.10%,23.60%,56.20%,43.80%
Los Angeles Mission College,Los Angeles Mission College,10191,California,0.10%,4.80%,3.30%,76.10%,0.10%,1.00%,85.50%,0.90%,2.10%,11.50%,60.10%,39.90%
North Central Texas College,North Central Texas College,10169,Texas,0.60%,2.10%,9.20%,19.60%,0.20%,3.00%,34.60%,1.20%,0.40%,63.70%,57.70%,42.30%
Los Angeles Harbor College,Los Angeles Harbor College,10145,California,0.20%,11.00%,11.40%,57.60%,0.90%,3.30%,84.50%,1.00%,1.80%,12.80%,59.10%,40.90%
University ofÊSaint Thomas (Minn.),University St Thomas (Minnesota),10140,Minnesota,0.10%,4.00%,3.70%,3.80%,0.00%,2.80%,14.40%,5.00%,2.40%,78.20%,48.70%,51.30%
Austin Peay State University,Austin Peay State University,10111,Tennessee,0.40%,1.60%,18.80%,5.70%,0.20%,5.10%,31.70%,0.40%,2.20%,65.60%,60.40%,39.60%
Northeastern University Global Network,Northeastern University Global Network,10102,Massachusetts,0.20%,5.10%,9.20%,5.40%,0.00%,1.70%,21.60%,25.80%,12.90%,39.70%,56.90%,43.10%
Pellissippi State Community College,Pellissippi State Community College,10099,Tennessee,0.30%,1.70%,6.30%,3.40%,0.20%,3.20%,15.20%,1.60%,0.10%,83.10%,52.60%,47.40%
University of South Dakota,University South Dakota,10061,South Dakota,1.70%,1.50%,2.30%,2.30%,0.50%,2.30%,10.50%,2.30%,1.20%,85.90%,61.10%,38.90%
Nashville State Community College,Nashville State Community College,10044,Tennessee,0.30%,3.30%,28.60%,4.80%,0.20%,2.50%,39.80%,0.90%,1.10%,58.30%,59.90%,40.10%
Texas Christian University,Texas Christian University,10033,Texas,0.80%,2.80%,4.80%,10.60%,0.30%,0.50%,19.70%,5.20%,2.50%,72.50%,59.20%,40.80%
Navarro College,Navarro College,9999,Texas,0.60%,0.70%,21.10%,18.00%,0.20%,1.00%,41.60%,1.30%,0.00%,57.10%,59.00%,41.00%
Bloomsburg University of Pennsylvania,Bloomsburg University Pennsylvania,9998,Pennsylvania,0.10%,1.10%,7.80%,4.90%,0.10%,2.10%,16.10%,1.20%,1.50%,81.30%,57.50%,42.50%
Coastal Carolina University,Coastal Carolina University,9976,South Carolina,0.40%,0.80%,19.10%,3.50%,0.10%,4.10%,27.90%,1.40%,0.50%,70.10%,55.10%,44.90%
Spokane Community College,Spokane Community College,9974,Washington,1.60%,1.50%,1.80%,4.30%,0.20%,3.70%,13.00%,0.50%,23.30%,63.20%,57.60%,42.40%
Azusa Pacific University,Azusa Pacific University,9972,California,0.30%,10.20%,5.70%,24.50%,0.90%,4.40%,46.00%,2.90%,6.80%,44.20%,67.50%,32.50%
Johnson & Wales University (R.I.),Johnson & Wales University Providence,9955,Rhode Island,0.20%,1.10%,9.70%,10.00%,0.10%,5.60%,26.70%,13.60%,6.60%,53.10%,59.40%,40.60%
Chattahoochee Technical College,Chattahoochee Technical College,9942,Georgia,0.50%,2.20%,28.50%,8.80%,0.20%,1.80%,42.00%,0.90%,1.00%,56.20%,56.70%,43.30%
Howard Community College,Howard Community College,9920,Maryland,0.30%,11.40%,28.60%,9.10%,0.30%,4.40%,54.00%,4.30%,2.60%,39.10%,56.40%,43.60%
Dutchess Community College,Dutchess Community College,9905,New York,0.20%,2.80%,11.20%,16.50%,0.10%,3.40%,34.20%,1.00%,1.20%,63.60%,53.90%,46.10%
Bellevue University,Bellevue University,9879,Nebraska,0.50%,2.20%,11.80%,6.80%,0.30%,2.10%,23.80%,2.90%,16.20%,57.10%,53.20%,46.80%
John Tyler Community College,John Tyler Community College,9875,Virginia,0.50%,3.10%,24.50%,7.20%,0.20%,3.70%,39.20%,0.20%,0.90%,59.60%,57.10%,42.90%
Scottsdale Community College,Scottsdale Community College,9863,Arizona,4.80%,2.80%,4.60%,15.50%,0.30%,2.10%,30.10%,1.30%,8.00%,60.60%,53.10%,46.90%
Delta College,Delta College,9842,Michigan,0.60%,0.80%,9.40%,6.70%,0.00%,0.20%,17.70%,0.20%,2.50%,79.60%,55.30%,44.70%
Saginaw Valley State University,Saginaw Valley State University,9829,Michigan,0.30%,0.70%,9.70%,3.40%,0.00%,1.60%,15.80%,6.40%,6.20%,71.60%,59.00%,41.00%
Solano Community College,Solano Community College,9824,California,0.30%,14.00%,15.50%,25.90%,0.80%,9.30%,65.80%,0.40%,2.30%,31.50%,59.20%,40.80%
Skyline College,Skyline College,9820,California,0.20%,37.60%,3.40%,29.60%,1.30%,5.20%,77.30%,1.40%,1.70%,19.70%,52.50%,47.50%
Hartnell College,Hartnell College,9800,California,0.20%,4.40%,2.00%,69.00%,0.30%,1.80%,77.80%,0.10%,7.90%,14.30%,48.70%,51.30%
Mississippi Gulf Coast Community College Perkinston Campus,Mississippi Gulf Coast Community College Perkinston,9799,Mississippi,0.40%,2.50%,23.70%,2.80%,0.10%,2.70%,32.30%,0.00%,2.70%,65.00%,60.40%,39.60%
