University_Name,University_Name_Clean,Total_Enrollment,State,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
University of Wisconsin at Madison,University Wisconsin Madison,42598,Wisconsin,0.30%,5.10%,2.30%,4.60%,0.10%,2.40%,14.70%,12.50%,1.30%,71.40%,50.70%,49.30%
University of Southern California,University Southern California,42453,California,0.20%,18.10%,5.30%,12.50%,0.20%,3.30%,39.50%,22.90%,4.80%,32.80%,52.10%,47.90%
University of Arizona,University Arizona,42236,Arizona,1.20%,5.70%,3.30%,22.30%,0.20%,3.80%,36.50%,8.80%,2.50%,52.20%,51.80%,48.20%
University of South Florida,University South Florida,41938,Florida,0.20%,6.30%,10.20%,17.70%,0.30%,3.10%,37.80%,7.70%,2.00%,52.50%,55.80%,44.20%
University of California at Los Angeles,University California Los Angeles,41845,California,0.20%,26.90%,2.90%,16.90%,0.30%,4.40%,51.50%,15.30%,2.50%,30.60%,52.80%,47.20%
Excelsior College,Excelsior College,41527,New York,0.60%,3.10%,21.60%,9.20%,0.60%,2.60%,37.70%,0.60%,2.40%,59.30%,54.70%,45.30%
Florida State University,Florida State University,41226,Florida,0.30%,2.50%,8.20%,16.00%,0.10%,2.60%,29.70%,4.50%,1.60%,64.20%,54.90%,45.10%
Austin Community College,Austin Community College,40949,Texas,0.80%,4.80%,7.30%,30.30%,0.20%,2.80%,46.10%,3.20%,5.00%,45.70%,55.60%,44.40%
University of Houston,University Houston,40914,Texas,0.10%,19.80%,10.20%,26.90%,0.20%,3.00%,60.20%,9.80%,0.90%,29.00%,49.30%,50.70%
California State University at Northridge,California State University Northridge,40131,California,0.20%,10.90%,5.40%,39.50%,0.20%,3.20%,59.40%,8.70%,6.00%,25.90%,55.20%,44.80%
Purdue University at West Lafayette,Purdue University,39752,Indiana,0.10%,5.20%,3.00%,4.00%,0.10%,1.90%,14.40%,22.80%,1.80%,61.00%,41.60%,58.40%
University of Texas at Arlington,University Texas Arlington,39740,Texas,0.30%,9.30%,14.10%,20.60%,0.30%,2.90%,47.40%,11.10%,0.80%,40.60%,59.70%,40.30%
California State University at Fullerton,California State University Fullerton,38128,California,0.20%,20.70%,2.10%,36.00%,0.20%,4.00%,63.20%,7.70%,4.20%,24.90%,55.50%,44.50%
University of Maryland at College Park,University Maryland College Park,37610,Maryland,0.10%,13.30%,11.20%,7.70%,0.10%,3.30%,35.70%,11.50%,3.20%,49.60%,46.70%,53.30%
University of California at Berkeley,University California Berkeley,37565,California,0.20%,29.70%,2.40%,12.10%,0.20%,4.20%,48.80%,16.20%,4.40%,30.70%,50.20%,49.80%
Temple University,Temple University,37485,Pennsylvania,0.20%,10.20%,11.90%,5.30%,0.10%,2.30%,29.90%,7.10%,7.90%,55.10%,52.00%,48.00%
California State University at Long Beach,California State University Long Beach,36809,California,0.60%,22.00%,3.90%,36.10%,0.40%,4.40%,67.50%,7.20%,4.40%,21.00%,57.00%,43.00%
Texas State University,Texas State University,36739,Texas,0.30%,2.20%,8.00%,31.60%,0.10%,3.20%,45.40%,1.40%,1.60%,51.70%,56.80%,43.20%
Brigham Young University -Idaho,Brigham Young University Idaho,36624,Idaho,0.20%,0.70%,0.40%,2.20%,0.30%,4.00%,7.80%,10.20%,27.10%,54.80%,57.70%,42.30%
University of North Texas,University North Texas,36486,Texas,0.40%,5.20%,11.50%,18.80%,0.10%,7.70%,43.70%,6.20%,1.00%,49.10%,52.90%,47.10%
University of Alabama at Tuscaloosa,University Alabama,36047,Alabama,0.40%,1.10%,11.30%,3.40%,0.10%,2.50%,18.70%,4.70%,0.40%,76.30%,55.00%,45.00%
East Los Angeles College,East Los Angeles College,36012,California,0.20%,9.60%,4.10%,67.30%,0.20%,0.30%,81.70%,2.00%,9.90%,6.40%,49.20%,50.80%
College of Southern Nevada,College Southern Nevada,35943,Nevada,0.60%,9.40%,11.80%,26.50%,1.80%,4.80%,55.00%,1.10%,8.00%,35.90%,55.80%,44.20%
University of Missouri at Columbia,University Missouri Columbia,35425,Missouri,0.20%,2.30%,7.20%,3.30%,0.00%,2.50%,15.50%,6.80%,1.30%,76.40%,52.80%,47.20%
University of Cincinnati,University Cincinnati,35313,Ohio,0.20%,3.20%,7.10%,2.80%,0.10%,2.10%,15.50%,8.80%,5.20%,70.50%,53.50%,46.50%
University of Georgia,University Georgia,35197,Georgia,0.10%,8.10%,8.00%,4.70%,0.10%,3.00%,23.90%,4.90%,1.30%,69.80%,57.60%,42.40%
Texas Tech University,Texas Tech University,35158,Texas,0.30%,2.40%,5.70%,20.10%,0.10%,3.00%,31.70%,8.00%,0.70%,59.60%,45.90%,54.10%
Capella University,Capella University,35061,Minnesota,0.60%,1.40%,35.10%,6.40%,0.40%,2.00%,45.90%,0.50%,14.00%,39.60%,75.40%,24.60%
University of California at Davis,University California Davis,34508,California,0.20%,30.10%,2.00%,16.50%,0.40%,5.00%,54.20%,10.30%,2.40%,33.00%,56.50%,43.50%
Iowa State University,Iowa State University,34435,Iowa,0.20%,2.70%,2.60%,4.20%,0.10%,2.00%,11.80%,11.60%,4.50%,72.10%,44.00%,56.00%
North Carolina State University,North Carolina State University Raleigh,33989,North Carolina,0.40%,4.90%,6.50%,4.10%,0.10%,2.80%,18.80%,11.00%,2.80%,67.40%,44.30%,55.70%
George Mason University,George Mason University,33729,Virginia,0.20%,14.80%,9.30%,10.10%,0.40%,3.60%,38.50%,6.30%,6.70%,48.50%,53.70%,46.30%
San Diego State University,San Diego State University,33483,California,0.30%,12.50%,3.50%,29.20%,0.20%,5.90%,51.60%,7.10%,6.30%,35.00%,55.70%,44.30%
University of South Carolina at Columbia,University South Carolina Columbia,32971,South Carolina,0.20%,2.70%,10.40%,4.00%,0.10%,3.20%,20.60%,4.40%,1.10%,73.90%,55.20%,44.80%
San Jose State University,San Jose State University,32713,California,0.10%,31.70%,3.10%,22.60%,0.70%,4.80%,63.20%,10.90%,4.20%,21.70%,49.60%,50.40%
St. Petersburg College,St Petersburg College,32681,Florida,0.40%,3.30%,13.70%,11.10%,0.30%,2.30%,31.10%,0.70%,2.60%,65.60%,60.40%,39.60%
Georgia State University,Georgia State University,32556,Georgia,0.20%,10.40%,36.50%,8.10%,0.10%,4.10%,59.40%,4.60%,2.80%,33.10%,59.00%,41.00%
University of Colorado at Boulder,University Colorado Boulder,32432,Colorado,0.30%,5.00%,1.60%,9.40%,0.10%,3.80%,20.20%,7.20%,2.10%,70.50%,44.10%,55.90%
Boston University,Boston University,32112,Massachusetts,0.10%,10.70%,3.70%,7.50%,0.10%,2.70%,24.90%,20.00%,9.60%,45.60%,58.40%,41.60%
University of Utah,University Utah,31515,Utah,0.40%,5.00%,1.30%,8.60%,0.50%,3.10%,19.00%,8.90%,3.90%,68.20%,44.50%,55.50%
Colorado State University at Fort Collins,Colorado State University Fort Collins,31354,Colorado,0.50%,2.60%,2.20%,9.10%,0.10%,2.70%,17.30%,6.10%,4.60%,72.10%,51.50%,48.50%
University ah Valley U.,Utah Valley University,31332,Utah,0.70%,1.10%,0.90%,10.00%,0.90%,2.00%,15.60%,2.30%,2.20%,79.90%,44.60%,55.40%
Virginia Tech,Virginia Tech,31224,Virginia,0.10%,8.00%,4.00%,4.90%,0.10%,3.80%,20.90%,9.60%,3.10%,66.40%,42.40%,57.60%
Louisiana State University at Baton Rouge,Louisiana State University Baton Rouge,31044,Louisiana,0.30%,3.50%,11.30%,5.30%,0.10%,2.20%,22.60%,5.30%,0.60%,71.50%,51.40%,48.60%
Portland Community College,Portland Community College,30929,Oregon,1.00%,6.90%,5.70%,10.30%,0.60%,5.40%,29.80%,2.60%,7.00%,60.50%,53.70%,46.30%
Virginia Commonwealth University,Virginia Commonwealth University,30848,Virginia,0.30%,11.70%,15.60%,6.50%,0.20%,4.20%,38.40%,5.40%,4.10%,52.20%,57.90%,42.10%
University of California at San Diego,University California San Diego,30709,California,0.10%,34.00%,1.30%,14.60%,0.30%,4.50%,54.80%,17.40%,2.60%,25.30%,45.90%,54.10%
Indiana University -Purdue U. at Indianapolis,Indiana University Purdue University Indianapolis,30690,Indiana,0.10%,4.20%,9.60%,5.10%,0.10%,3.10%,22.20%,6.30%,1.10%,70.50%,56.20%,43.80%
Brigham Young University,Brigham Young University Provo,30484,Utah,0.40%,1.90%,0.50%,5.50%,0.60%,3.40%,12.30%,3.80%,1.20%,82.70%,44.90%,55.10%
