Rank,University_Name,State,Region,Division,Early_Career_Pay,Mid_Career_Pay,Make_World_Better_Percent,Stem_Percent,Type,Degree_Length,Room_And_Board,In_State_Tuition,In_State_Total,Out_Of_State_Tuition,Out_Of_State_Total,Total_Enrollment,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
3,Millsaps College,Mississippi,South,East South Central,49300,88700,56,24,Private,4 Year,13730,39910,53640,39910,53640,842,0.01,0.04,0.11,0.02,0,0.01,0.18,0.04,0.03,0.75,0.49,0.51
3,University Missouri Columbia,Missouri,Midwest,West North Central,52300,98600,49,17,Public,4 Year,10786,12055,22841,29025,39811,35425,0,0.02,0.07,0.03,0,0.03,0.16,0.07,0.01,0.76,0.53,0.47
3,Carroll College,Montana,West,Mountain,48200,91400,55,25,Private,4 Year,9880,35486,45366,35486,45366,1440,0.01,0.02,0.01,0.05,0,0.02,0.1,0.02,0.09,0.79,0.58,0.42
3,University Nebraska Medical Center,Nebraska,Midwest,West North Central,53400,93000,79,6,Public,4 Year,,11558,11558,28898,28898,3696,0,0.05,0.02,0.03,0,0.01,0.11,0.08,0.02,0.79,0.64,0.36
3,University Nevada Las Vegas,Nevada,West,Mountain,50400,90400,46,12,Public,4 Year,10504,7985,18489,22457,32961,28515,0,0.14,0.08,0.23,0.01,0.08,0.54,0.04,0.02,0.4,0.55,0.45
3,New Jersey Institute Technology,New Jersey,Northeast,Middle Atlantic,64600,121300,51,75,Public,4 Year,13600,17338,30938,32750,46350,10646,0,0.18,0.08,0.16,0,0.03,0.45,0.17,0.1,0.28,0.25,0.75
3,University New Mexico,New Mexico,West,Mountain,48400,94000,59,19,Public,4 Year,9864,5445,15309,26845,36709,27844,0.05,0.03,0.02,0.41,0,0.03,0.55,0.05,0.02,0.39,0.55,0.45
3,Webb Institute,New York,Northeast,Middle Atlantic,80800,141800,,100,Private,4 Year,15050,50175,65225,50175,65225,90,0,0.09,0,0,0,0.04,0.13,0.01,0.01,0.84,0.13,0.87
3,Davidson College,North Carolina,South,South Atlantic,57300,106900,50,28,Private,4 Year,14372,51447,65819,51447,65819,1770,0.01,0.06,0.06,0.07,0,0.04,0.23,0.06,0.02,0.69,0.51,0.49
3,University Jamestown,North Dakota,Midwest,West North Central,47600,85400,64,11,Private,4 Year,7570,21976,29546,21976,29546,970,0.02,0.01,0.04,0.05,0,0,0.12,0.06,0,0.82,0.54,0.46
3,Wittenberg University,Ohio,Midwest,East North Central,52400,105400,61,22,Private,4 Year,10356,39500,49856,39500,49856,1964,0,0.01,0.07,0.03,0,0.05,0.16,0.02,0.02,0.8,0.57,0.43
3,University Oklahoma Norman,Oklahoma,South,West South Central,54400,100600,52,23,Public,4 Year,10994,11763,22757,27144,38138,27261,0.04,0.05,0.05,0.08,0,0.06,0.29,0.07,0.04,0.6,0.49,0.51
3,Reed College,Oregon,West,Pacific,56100,104900,44,26,Private,4 Year,14210,56340,70550,56340,70550,1394,0,0.06,0.02,0.11,0,0.08,0.27,0.08,0.07,0.58,0.53,0.47
3,University Portland,Oregon,West,Pacific,58500,104900,52,28,Private,4 Year,13450,45904,59354,45904,59354,4143,0,0.1,0.01,0.1,0.02,0.08,0.3,0.04,0.03,0.63,0.59,0.41
3,University Pennsylvania,Pennsylvania,Northeast,Middle Atlantic,72800,133900,41,21,Private,4 Year,15616,55584,71200,55584,71200,24806,0,0.15,0.06,0.07,0,0.03,0.32,0.18,0.05,0.45,0.53,0.47
3,Providence College,Rhode Island,Northeast,New England,58900,106900,44,11,Private,4 Year,14700,50390,65090,50390,65090,4533,0,0.01,0.04,0.07,0,0.02,0.14,0.02,0.06,0.77,0.56,0.44
3,Furman,South Carolina,South,South Atlantic,52100,98800,48,16,Private,4 Year,12712,49532,62244,49532,62244,2973,0,0.02,0.05,0.04,0,0.03,0.14,0.05,0.02,0.8,0.58,0.42
3,Augustana University,South Dakota,Midwest,West North Central,47900,88400,54,18,Private,4 Year,8248,33018,41266,33018,41266,1825,0,0.01,0.02,0.02,0,0.01,0.06,0.08,0,0.86,0.61,0.39
3,Texas A&M University College Station,Texas,South,West South Central,60600,115700,53,30,Public,4 Year,10436,10968,21404,36442,46878,61642,0,0.06,0.03,0.18,0,0.03,0.3,0.09,0.01,0.61,0.48,0.53
3,Weber State University,Utah,West,Mountain,53900,94000,60,8,Public,4 Year,6279,5831,12110,16585,22864,25954,0,0.01,0.01,0.09,0,0.02,0.14,0.02,0.35,0.5,0.53,0.47
3,Norwich University,Vermont,Northeast,New England,57000,99100,51,20,Private,4 Year,13840,40016,53856,40016,53856,3672,0,0.02,0.05,0.07,0,0.04,0.19,0.01,0.04,0.76,0.2,0.8
3,University Virginia,Virginia,South,South Atlantic,64500,117500,46,23,Public,4 Year,11590,17564,29154,48465,60055,23732,0,0.1,0.06,0.05,0,0.04,0.25,0.09,0.05,0.62,0.54,0.46
3,University Washington Bothell,Washington,West,Pacific,60200,108000,53,26,Public,4 Year,11877,11138,23015,36519,48396,4962,0,0.25,0.05,0.08,0.01,0.06,0.45,0.08,0.02,0.46,0.51,0.49
3,Alderson Broaddus University,West Virginia,South,South Atlantic,50600,90500,72,15,Private,4 Year,8860,27910,36770,27910,36770,1108,0,0.01,0.15,0.04,0,0.01,0.22,0.03,0,0.75,0.5,0.5
3,University Wisconsin Madison,Wisconsin,Midwest,East North Central,57300,104400,48,33,Public,4 Year,11114,10555,21669,36805,47919,42598,0,0.05,0.02,0.05,0,0.02,0.15,0.13,0.01,0.71,0.51,0.49
4,Tuskegee University,Alabama,South,East South Central,54500,93500,61,30,Private,4 Year,9650,22170,31820,22170,31820,3103,0,0.01,0.76,0.01,0,0,0.78,0.01,0.2,0.02,0.6,0.4
4,Northern Arizona University,Arizona,West,Mountain,49600,90000,56,12,Public,4 Year,10282,11564,21846,25828,36110,27705,0.03,0.02,0.03,0.19,0,0.05,0.32,0.05,0.01,0.62,0.59,0.41
4,Harding University,Arkansas,South,West South Central,49200,88600,47,10,Private,4 Year,7044,20135,27179,20135,27179,6059,0.01,0.01,0.05,0.03,0,0.01,0.11,0.06,0.01,0.83,0.57,0.43
4,Stanford University,California,West,Pacific,79000,145200,56,51,Private,4 Year,15763,51354,67117,51354,67117,16963,0.01,0.16,0.04,0.1,0,0.07,0.37,0.23,0.03,0.37,0.42,0.59
4,University Denver,Colorado,West,Mountain,55700,105100,48,12,Private,4 Year,13005,50556,63561,50556,63561,11809,0,0.03,0.03,0.09,0,0.03,0.19,0.11,0.03,0.67,0.56,0.44
4,Fairfield University,Connecticut,Northeast,New England,62300,116900,41,17,Private,4 Year,14710,48350,63060,48350,63060,5123,0,0.02,0.03,0.07,0,0.01,0.13,0.07,0.1,0.7,0.6,0.4
4,Wesley College,Delaware,South,South Atlantic,45400,77300,50,2,Private,4 Year,11717,26406,38123,26406,38123,1615,0,0.02,0.38,0.05,0,0.04,0.5,0,0.09,0.41,0.55,0.46
4,University Florida,Florida,South,South Atlantic,55800,102800,52,29,Public,4 Year,10120,6381,16501,28658,38778,49459,0,0.07,0.06,0.16,0.01,0.02,0.33,0.09,0.03,0.55,0.54,0.46
4,Morehouse College,Georgia,South,South Atlantic,55700,98700,58,26,Private,4 Year,13438,27574,41012,27574,41012,2109,0,0,0.94,0.01,0,0,0.95,0.03,0.02,0,0,1
4,Chaminade University Honolulu,Hawaii,West,Pacific,45400,84000,55,3,Private,4 Year,13630,25374,39004,25374,39004,2756,0.01,0.26,0.06,0.06,0.16,0.1,0.64,0.02,0.18,0.17,0.65,0.35
4,Boise State University,Idaho,West,Mountain,50100,86400,55,14,Public,4 Year,10692,7694,18386,23776,34468,22227,0.01,0.02,0.02,0.1,0,0.03,0.17,0.04,0.03,0.76,0.55,0.46
4,University Chicago,Illinois,Midwest,East North Central,64000,114200,41,22,Private,4 Year,16350,58230,74580,58230,74580,15097,0,0.13,0.04,0.06,0,0.02,0.26,0.22,0.1,0.43,0.42,0.58
4,Purdue University,Indiana,Midwest,East North Central,60900,110000,48,38,Public,4 Year,10030,9992,20022,28794,38824,39752,0,0.05,0.03,0.04,0,0.02,0.14,0.23,0.02,0.61,0.42,0.58
4,Grinnell College,Iowa,Midwest,West North Central,53400,96500,49,41,Private,4 Year,12810,52392,65202,52392,65202,1734,0,0.07,0.06,0.08,0,0.04,0.25,0.13,0.04,0.58,0.55,0.45
4,Centre College,Kentucky,South,East South Central,49500,88500,52,22,Private,4 Year,10480,41700,52180,41700,52180,1387,0,0.03,0.05,0.02,0,0.03,0.13,0.06,0,0.8,0.52,0.48
4,Louisiana State University Health Sciences Center New Orleans,Louisiana,South,West South Central,52300,94200,86,2,Public,4 Year,5650,6923,12573,13705,19355,2828,0,0.09,0.09,0.04,0,0,0.22,0.02,0.02,0.74,0.66,0.34
4,Colby College,Maine,Northeast,New England,59200,103300,50,25,Private,4 Year,14190,55210,69400,55210,69400,1847,0,0.06,0.03,0.06,0,0.05,0.2,0.11,0.09,0.6,0.53,0.47
4,University Maryland College Park,Maryland,South,South Atlantic,61300,113400,50,33,Public,4 Year,12429,10595,23024,35216,47645,37610,0,0.13,0.11,0.08,0,0.03,0.36,0.12,0.03,0.5,0.47,0.53
4,Babson College,Massachusetts,Northeast,New England,72000,133800,37,0,Private,4 Year,16312,51104,67416,51104,67416,3049,0,0.09,0.04,0.08,0,0.02,0.23,0.3,0.08,0.39,0.43,0.57
4,Lawrence Technological University,Michigan,Midwest,East North Central,57900,108400,49,60,Private,4 Year,9950,33570,43520,33570,43520,4015,0,0.23,0.06,0.03,0,0,0.32,0.06,0.16,0.47,0.26,0.75
4,University Minnesota Twin Cities,Minnesota,Midwest,West North Central,57200,104000,51,30,Public,4 Year,10312,14693,25005,30371,40683,51147,0,0.08,0.04,0.03,0,0.03,0.17,0.13,0.04,0.66,0.52,0.48
4,University Southern Mississippi,Mississippi,South,East South Central,45100,83900,56,11,Public,4 Year,9857,8734,18591,10734,20591,14792,0,0.01,0.27,0.03,0,0.02,0.34,0.03,0.01,0.63,0.63,0.37
4,Saint Louis University,Missouri,Midwest,West North Central,54200,95300,56,13,Private,4 Year,12290,43884,56174,43884,56174,17052,0,0.07,0.06,0.03,0,0.04,0.2,0.06,0.03,0.71,0.59,0.41
4,University Montana,Montana,West,Mountain,46500,87800,51,8,Public,4 Year,9544,7244,16788,24959,34503,13952,0.03,0.03,0.01,0.04,0,0.04,0.14,0.05,0.07,0.75,0.54,0.46
4,Clarkson College,Nebraska,Midwest,West North Central,50900,91500,74,0,Private,4 Year,5398,16920,22318,16920,22318,1221,0.01,0.02,0.04,0.03,0,0.02,0.12,0,0.1,0.78,0.88,0.12
4,University New Hampshire Manchester,New Hampshire,Northeast,New England,51900,90900,50,32,Public,4 Year,,15265,15265,30635,30635,850,0,0.02,0.02,0.04,0,0.02,0.1,0,0.2,0.7,0.52,0.48
4,Rutgers University New Brunswick,New Jersey,Northeast,Middle Atlantic,59800,111000,42,29,Public,4 Year,12706,14974,27680,31282,43988,48378,0,0.22,0.08,0.11,0,0.03,0.45,0.1,0.02,0.43,0.54,0.47
4,Eastern New Mexico University,New Mexico,West,Mountain,44500,80500,61,5,Public,4 Year,7162,6206,13368,8128,15290,5879,0.03,0.01,0.04,0.33,0,0.03,0.44,0.02,0.07,0.47,0.59,0.41
4,SUNY Maritime College,New York,Northeast,Middle Atlantic,74900,140700,53,32,Public,4 Year,12522,8283,20805,18063,30585,1799,0,0.04,0.04,0.07,0,0.01,0.17,0.04,0.1,0.69,0.12,0.88
4,North Carolina State University Raleigh,North Carolina,South,South Atlantic,57300,106500,52,47,Public,4 Year,11078,9101,20179,28444,39522,33989,0,0.05,0.07,0.04,0,0.03,0.19,0.11,0.03,0.67,0.44,0.56
4,Mayville State University,North Dakota,Midwest,West North Central,43700,81300,44,10,Public,4 Year,7840,6666,14506,9399,17239,1081,0.02,0,0.07,0.05,0.01,0.03,0.17,0.03,0.01,0.8,0.56,0.44
4,University Dayton,Ohio,Midwest,East North Central,57400,105000,44,33,Private,4 Year,13580,42900,56480,42900,56480,11343,0,0.01,0.04,0.03,0,0.01,0.09,0.16,0.03,0.72,0.48,0.52
4,Oklahoma State University,Oklahoma,South,West South Central,52800,98600,54,25,Public,4 Year,8549,9019,17568,24539,33088,6712,0.04,0.03,0.15,0.1,0,0.09,0.4,0,0.04,0.56,0.61,0.39
4,Swarthmore College,Pennsylvania,Northeast,Middle Atlantic,67500,123200,44,45,Private,4 Year,15474,52588,68062,52588,68062,1542,0,0.16,0.06,0.13,0,0.08,0.44,0.1,0.05,0.42,0.51,0.49
4,Rhode Island School Design,Rhode Island,Northeast,New England,55500,100600,39,0,Private,4 Year,13400,50960,64360,50960,64360,2449,0,0.16,0.02,0.08,0,0.04,0.29,0.29,0.1,0.32,0.66,0.34
4,Wofford College,South Carolina,South,South Atlantic,51300,96600,51,28,Private,4 Year,12685,43845,56530,43845,56530,1658,0,0.03,0.08,0.03,0,0.03,0.17,0.02,0.01,0.8,0.51,0.49
4,University South Dakota,South Dakota,Midwest,West North Central,47500,87900,56,8,Public,4 Year,8216,9061,17277,12425,20641,10061,0.02,0.02,0.02,0.02,0.01,0.02,0.11,0.02,0.01,0.86,0.61,0.39
4,Christian Brothers University,Tennessee,South,East South Central,51500,96500,60,14,Private,4 Year,7400,32820,40220,32820,40220,1667,0,0.05,0.31,0.06,0,0.02,0.45,0.03,0.04,0.48,0.56,0.44
4,University Texas Austin,Texas,South,West South Central,60700,112800,49,28,Public,4 Year,10804,10606,21410,37480,48284,51313,0,0.16,0.04,0.19,0,0.03,0.43,0.1,0.01,0.47,0.51,0.49
4,Utah State University,Utah,West,Mountain,52400,93900,61,14,Public,4 Year,6400,7424,13824,21505,27905,27662,0.02,0.01,0.01,0.06,0,0.02,0.11,0.03,0.07,0.79,0.54,0.46
4,Saint Michael's College,Vermont,Northeast,New England,52900,98500,40,18,Private,4 Year,12220,45375,57595,45375,57595,2618,0,0.02,0.02,0.04,0,0.02,0.09,0.05,0.01,0.86,0.59,0.41
4,Virginia Polytechnic Institute and State University,Virginia,South,South Atlantic,62700,114000,48,42,Public,4 Year,8934,13620,22554,31304,40238,,,,,,,,,,,,,
4,Gonzaga University,Washington,West,Pacific,57800,107600,51,19,Private,4 Year,11944,43210,55154,43210,55154,7352,0.01,0.04,0.02,0.08,0,0.04,0.19,0.06,0.06,0.7,0.56,0.44
4,Shepherd University,West Virginia,South,South Atlantic,47100,87100,48,12,Public,4 Year,10500,7548,18048,18048,28548,4041,0.01,0.02,0.08,0.03,0,0.01,0.14,0.01,0.02,0.84,0.59,0.41
4,University Wisconsin Platteville,Wisconsin,Midwest,East North Central,56800,100300,50,38,Public,4 Year,7580,7571,15151,15421,23001,8901,0,0.01,0.02,0.03,0,0.02,0.08,0.03,0,0.89,0.36,0.64
5,Samford University,Alabama,South,East South Central,48400,90500,52,3,Private,4 Year,10550,31650,42200,31650,42200,4933,0,0.02,0.08,0.04,0,0.01,0.15,0.03,0.01,0.81,0.63,0.38
5,Arizona Christian University,Arizona,West,Mountain,42600,76600,,7,Private,4 Year,10674,26796,37470,26796,37470,737,0.01,0.02,0.08,0.16,0.01,0.05,0.32,0.02,0.06,0.61,0.45,0.55
5,John Brown University,Arkansas,South,West South Central,47000,82700,53,9,Private,4 Year,9224,26928,36152,26928,36152,2850,0.02,0.01,0.04,0.05,0,0.04,0.16,0.04,0.04,0.77,0.58,0.42
5,Charles R Drew University Medicine and Science,California,West,Pacific,78300,135700,,3,Private,4 Year,,17440,17440,17440,17440,481,0,0.2,0.36,0.13,0,0.19,0.88,0.01,0.06,0.06,0.7,0.3
5,Colorado College,Colorado,West,Mountain,53100,97900,48,23,Private,4 Year,12512,55470,67982,55470,67982,2067,0,0.05,0.02,0.09,0,0.08,0.25,0.07,0.03,0.66,0.54,0.46
5,Trinity College,Connecticut,Northeast,New England,60100,110900,49,22,Private,4 Year,14750,56910,71660,56910,71660,2408,0,0.04,0.06,0.07,0,0.03,0.2,0.09,0.06,0.64,0.48,0.52
5,Wilmington University,Delaware,South,South Atlantic,45100,76600,50,4,Private,4 Year,,11210,11210,11210,11210,14467,0.01,0.02,0.24,0.03,0,0,0.29,0.08,0.14,0.48,0.65,0.35
5,Kennesaw State University,Georgia,South,South Atlantic,52500,94600,46,22,Public,4 Year,11467,7432,18899,21158,32625,25714,0,0.03,0.19,0.07,0,0.04,0.34,0.02,0.03,0.61,0.58,0.42
5,University Hawaii Hilo,Hawaii,West,Pacific,44000,77200,59,14,Public,4 Year,11406,7720,19126,20680,32086,3924,0.01,0.21,0.01,0.12,0.1,0.29,0.73,0.04,0,0.23,0.61,0.39
5,College Idaho,Idaho,West,Mountain,44700,82100,48,17,Private,4 Year,9697,30155,39852,30155,39852,1144,0.01,0.03,0.02,0.15,0,0.02,0.23,0.07,0.07,0.63,0.52,0.48
5,Rush University,Illinois,Midwest,East North Central,63500,107600,88,6,Private,4 Year,,24900,24900,24900,24900,2457,0,0.14,0.07,0.08,0,0.01,0.3,0,0.03,0.67,0.73,0.27
5,DePauw University,Indiana,Midwest,East North Central,56600,101000,47,24,Private,4 Year,13020,49704,62724,49704,62724,2215,0,0.03,0.06,0.03,0,0.07,0.19,0.09,0.03,0.69,0.54,0.46
5,Allen College,Iowa,Midwest,West North Central,51600,91300,,0,Private,4 Year,7282,19970,27252,19970,27252,575,0,0.01,0.02,0,0,0.01,0.05,0.01,0.04,0.9,0.91,0.09
5,University Saint Mary,Kansas,Midwest,West North Central,49500,89700,61,6,Private,4 Year,8140,28810,36950,28810,36950,1436,0.01,0.02,0.09,0.08,0.01,0.03,0.23,0.01,0.14,0.62,0.66,0.34
5,University Louisville,Kentucky,South,East South Central,49500,87600,50,18,Public,4 Year,9226,11656,20882,27278,36504,21561,0,0.04,0.1,0.04,0,0.04,0.22,0.03,0,0.75,0.52,0.48
5,University Louisiana Monroe,Louisiana,South,West South Central,48500,92500,65,7,Public,4 Year,7850,8734,16584,20834,28684,8517,0,0.02,0.23,0.02,0,0.02,0.3,0.03,0.03,0.65,0.64,0.36
5,University Louisiana Lafayette,Louisiana,South,West South Central,48200,92500,52,19,Public,4 Year,8516,10616,19132,24344,32860,17195,0.01,0.02,0.2,0.03,0,0.02,0.27,0.04,0.01,0.68,0.56,0.44
5,University Maine,Maine,Northeast,New England,52000,95000,50,24,Public,4 Year,10418,11170,21588,30970,41388,,,,,,,,,,,,,
5,Loyola University Maryland,Maryland,South,South Atlantic,59900,111200,40,8,Private,4 Year,14430,49085,63515,49085,63515,5967,0,0.03,0.08,0.08,0,0.02,0.21,0.01,0.01,0.77,0.61,0.39
5,Williams College,Massachusetts,Northeast,New England,67500,127500,47,32,Private,4 Year,14500,55450,69950,55450,69950,2126,0,0.11,0.07,0.11,0,0.07,0.36,0.09,0,0.55,0.51,0.49
5,Michigan State University,Michigan,Midwest,East North Central,55300,100800,46,20,Public,4 Year,10322,14460,24782,39765,50087,50081,0,0.04,0.06,0.04,0,0.02,0.17,0.15,0.01,0.66,0.52,0.49
5,St Olaf College,Minnesota,Midwest,West North Central,54100,101900,46,30,Private,4 Year,10850,47840,58690,47840,58690,3034,0,0.06,0.02,0.05,0,0.04,0.16,0.07,0.01,0.76,0.58,0.42
5,Mississippi College,Mississippi,South,East South Central,45200,79500,57,20,Private,4 Year,10300,18026,28326,18026,28326,4984,0.01,0.02,0.23,0.03,0,0.01,0.3,0.08,0.05,0.57,0.59,0.41
5,Barnes Jewish College Goldfarb School Nursing,Missouri,Midwest,West North Central,55000,95200,83,0,Private,4 Year,,21150,21150,21150,21150,,,,,,,,,,,,,
5,Rocky Mountain College,Montana,West,Mountain,46000,82900,59,12,Private,4 Year,8330,28512,36842,28512,36842,1007,0.02,0.01,0.03,0.02,0.01,0.07,0.15,0.05,0.02,0.78,0.48,0.52
5,Nebraska Methodist College Nursing & Allied Health,Nebraska,Midwest,West North Central,51300,89800,84,0,Private,4 Year,9586,18048,27634,18048,27634,1000,0.01,0.02,0.04,0.03,0,0.02,0.11,0,0.02,0.87,0.9,0.1
5,Thomas More College Liberal Arts,New Hampshire,Northeast,New England,48900,88300,,0,Private,4 Year,9700,21600,31300,21600,31300,93,0,0.02,0.01,0.02,0,0,0.05,0.04,0.14,0.76,0.57,0.43
5,Seton Hall University,New Jersey,Northeast,Middle Atlantic,57100,103800,45,8,Private,4 Year,15800,42470,58270,42470,58270,9627,0,0.07,0.11,0.14,0,0.02,0.35,0.04,0.11,0.5,0.59,0.41
5,Western New Mexico University,New Mexico,West,Mountain,41700,76700,75,4,Public,4 Year,9136,6824,15960,15231,24367,3557,0.03,0.01,0.04,0.41,0,0.01,0.49,0.01,0.21,0.28,0.62,0.38
5,University North Carolina Chapel Hill,North Carolina,South,South Atlantic,55000,100800,49,19,Public,4 Year,11190,8987,20177,35170,46360,29135,0.01,0.08,0.08,0.07,0,0.05,0.28,0.06,0.03,0.64,0.57,0.43
5,Dickinson State University,North Dakota,Midwest,West North Central,46400,81200,55,8,Public,4 Year,6898,6765,13663,9544,16442,1479,0.01,0.01,0.04,0.05,0,0.03,0.13,0.05,0.03,0.79,0.6,0.4
5,Denison University,Ohio,Midwest,East North Central,54400,104800,45,22,Private,4 Year,12710,51960,64670,51960,64670,2278,0,0.04,0.07,0.1,0,0.04,0.24,0.07,0.02,0.67,0.58,0.42
5,Oklahoma State University Institute Technology,Oklahoma,South,West South Central,52600,92300,53,14,Public,2 Year,6988,5550,12538,11160,18148,3379,0.16,0.01,0.04,0.06,0,0.08,0.35,0.01,0.05,0.59,0.36,0.64
5,Oregon State University,Oregon,West,Pacific,56200,104800,53,34,Public,4 Year,12855,11166,24021,30141,42996,28886,0.01,0.07,0.01,0.07,0,0.06,0.22,0.11,0.03,0.64,0.47,0.54
5,Bucknell University,Pennsylvania,Northeast,Middle Atlantic,66700,122900,40,40,Private,4 Year,13662,56092,69754,56092,69754,3624,0,0.04,0.03,0.05,0,0.03,0.15,0.06,0,0.78,0.52,0.48
5,University Rhode Island,Rhode Island,Northeast,New England,54500,99700,50,18,Public,4 Year,12950,14138,27088,30862,43812,16571,0,0.03,0.05,0.08,0,0.02,0.19,0.03,0.09,0.69,0.55,0.45
5,Medical University South Carolina,South Carolina,South,South Atlantic,54800,92700,88,6,Public,4 Year,,26826,26826,26826,26826,2898,0,0.06,0.08,0.04,0,0.02,0.2,0.02,0.05,0.74,0.63,0.37
5,Dakota State University,South Dakota,Midwest,West North Central,48400,84300,49,53,Public,4 Year,6873,9276,16149,12249,19122,3047,0.01,0.02,0.05,0.04,0,0.03,0.14,0.04,0.02,0.8,0.45,0.55
5,Baptist Memorial College Health Sciences,Tennessee,South,East South Central,55700,95700,90,4,Private,4 Year,2900,14700,17600,14700,17600,1170,0,0.02,0.43,0.02,0,0,0.47,0,0.02,0.52,0.91,0.09
5,Southern Methodist University,Texas,South,West South Central,59700,110400,46,22,Private,4 Year,16845,54493,71338,54493,71338,11272,0,0.06,0.06,0.1,0,0.03,0.25,0.13,0.01,0.6,0.48,0.52
5,Westminster College (Utah),Utah,West,Mountain,51700,92200,55,10,Private,4 Year,9524,34300,43824,34300,43824,2991,0,0.04,0.01,0.09,0,0.03,0.18,0.05,0.07,0.7,0.55,0.46
5,Vermont Technical College,Vermont,Northeast,New England,52400,93900,41,4,Public,4 Year,10598,15108,25706,27780,38378,1542,0.01,0.01,0.02,0.02,0,0.02,0.07,0.02,0.01,0.89,0.46,0.54
5,College William and Mary,Virginia,South,South Atlantic,59000,108900,42,21,Public,4 Year,12236,23400,35636,44701,56937,,,,,,,,,,,,,
5,Washington State University,Washington,West,Pacific,55900,103700,50,20,Public,4 Year,11398,11581,22979,26365,37763,28686,0.01,0.05,0.03,0.11,0,0.07,0.27,0.07,0.04,0.63,0.51,0.49
5,West Virginia Wesleyan College,West Virginia,South,South Atlantic,47000,85200,53,21,Private,4 Year,8856,31640,40496,31640,40496,1511,0,0,0.08,0.02,0,0.03,0.13,0.05,0.02,0.8,0.56,0.44
5,Lawrence University,Wisconsin,Midwest,East North Central,51500,98800,58,25,Private,4 Year,10341,47475,57816,47475,57816,1511,0.01,0.04,0.03,0.07,0,0.04,0.18,0.11,0.01,0.71,0.55,0.46
6,Spring Hill College,Alabama,South,East South Central,46600,89100,53,12,Private,4 Year,13462,39464,52926,39464,52926,1376,0.01,0.01,0.15,0.06,0,0.03,0.26,0.02,0.03,0.69,0.6,0.4
6,Arkansas State University,Arkansas,South,West South Central,44600,81400,52,7,Public,4 Year,8160,8608,16768,15298,23458,13144,0.01,0.01,0.14,0.02,0,0.02,0.19,0.06,0.01,0.74,0.59,0.41
6,Santa Clara University,California,West,Pacific,69900,134700,44,29,Private,4 Year,14910,51711,66621,51711,66621,9015,0,0.16,0.03,0.14,0,0.05,0.38,0.14,0.08,0.41,0.5,0.5
6,Colorado State University Fort Collins,Colorado,West,Mountain,53500,96100,51,28,Public,4 Year,11964,11831,23795,29732,41696,31354,0.01,0.03,0.02,0.09,0,0.03,0.17,0.06,0.05,0.72,0.52,0.49
6,University Connecticut,Connecticut,Northeast,New England,59100,105200,48,24,Public,4 Year,12874,15730,28604,38098,50972,26541,0,0.09,0.05,0.07,0,0.02,0.24,0.1,0.08,0.59,0.5,0.5
6,University Miami,Florida,South,South Atlantic,56200,99600,48,22,Private,4 Year,14108,50226,64334,50226,64334,16674,0,0.06,0.07,0.21,0,0.02,0.37,0.17,0.06,0.41,0.51,0.49
6,Oglethorpe University,Georgia,South,South Atlantic,52400,91400,50,12,Private,4 Year,13200,38100,51300,38100,51300,1094,0,0.04,0.19,0.1,0,0.03,0.36,0.06,0.25,0.34,0.58,0.42
6,University Hawaii West Oahu,Hawaii,West,Pacific,41300,74300,56,0,Public,4 Year,,7512,7512,20472,20472,2661,0,0.37,0.02,0.12,0.07,0.3,0.88,0.01,0.01,0.1,0.66,0.34
6,Northwest Nazarene University,Idaho,West,Mountain,46200,80600,68,7,Private,4 Year,7400,29300,36700,29300,36700,2249,0.01,0.01,0.02,0.08,0,0.02,0.14,0.02,0.06,0.78,0.58,0.42
6,Bradley University,Illinois,Midwest,East North Central,55600,104900,46,38,Private,4 Year,10620,33760,44380,33760,44380,5300,0,0.03,0.05,0.05,0,0.01,0.14,0.07,0.12,0.66,0.5,0.5
6,Trine University,Indiana,Midwest,East North Central,55100,100300,56,26,Private,4 Year,10810,32175,42985,32175,42985,2831,0,0.02,0.03,0.05,0,0.03,0.13,0.05,0.07,0.75,0.42,0.58
6,Cornell College,Iowa,Midwest,West North Central,49600,90600,47,22,Private,4 Year,9384,42299,51683,42299,51683,1086,0,0.02,0.05,0.13,0,0.04,0.25,0.04,0.04,0.66,0.53,0.47
6,Newman University,Kansas,Midwest,West North Central,48000,88500,66,11,Private,4 Year,8326,30724,39050,30724,39050,3687,0.01,0.05,0.04,0.1,0,0.03,0.22,0.02,0.01,0.74,0.65,0.35
6,Northern Kentucky University,Kentucky,South,East South Central,49000,87400,46,12,Public,4 Year,10022,10032,20054,19680,29702,15090,0,0.01,0.07,0.03,0,0.02,0.12,0.03,0.01,0.83,0.56,0.44
6,University New England,Maine,Northeast,New England,50100,91500,69,7,Private,4 Year,13990,37620,51610,37620,51610,6429,0,0.05,0.06,0.01,0,0.02,0.14,0.01,0.2,0.66,0.71,0.29
