Rank,University_Name,State,Region,Division,Early_Career_Pay,Mid_Career_Pay,Make_World_Better_Percent,Stem_Percent,Type,Degree_Length,Room_And_Board,In_State_Tuition,In_State_Total,Out_Of_State_Tuition,Out_Of_State_Total,Total_Enrollment,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
1,Dartmouth College,New Hampshire,Northeast,New England,71500,130900,44,35,Private,4 Year,15756,55453,71209,55453,71209,6298,0.02,0.12,0.05,0.07,0,0.04,0.3,0.15,0.07,0.47,0.47,0.53
1,Stevens Institute Technology,New Jersey,Northeast,Middle Atlantic,75100,139900,47,79,Private,4 Year,15244,52202,67446,52202,67446,6125,0,0.07,0.02,0.05,0,0,0.14,0.31,0.2,0.35,0.28,0.72
1,New Mexico Institute Mining and Technology,New Mexico,West,Mountain,64700,120400,61,91,Public,4 Year,8510,7770,16280,22268,30778,2127,0.03,0.03,0.02,0.25,0,0.03,0.36,0.07,0.01,0.56,0.32,0.68
1,Albany College Pharmacy and Health Sciences,New York,Northeast,Middle Atlantic,81000,144800,82,2,Private,4 Year,10920,35105,46025,35105,46025,1563,0,0.15,0.04,0.04,0,0.01,0.24,0.08,0.06,0.63,0.6,0.4
1,Duke University,North Carolina,South,South Atlantic,71100,132100,50,26,Private,4 Year,15178,55695,70873,55695,70873,15856,0,0.14,0.07,0.05,0,0.02,0.3,0.18,0.03,0.49,0.5,0.5
1,North Dakota State University,North Dakota,Midwest,West North Central,54200,98600,56,27,Public,4 Year,8565,9294,17859,13273,21838,14747,0.01,0.02,0.02,0.02,0,0.02,0.08,0.07,0.04,0.81,0.46,0.54
1,Case Western Reserve University,Ohio,Midwest,East North Central,66600,117800,44,37,Private,4 Year,15190,49042,64232,49042,64232,10771,0,0.14,0.05,0.04,0,0.03,0.26,0.19,0.05,0.5,0.5,0.5
1,University Tulsa,Oklahoma,South,West South Central,58700,107200,51,36,Private,4 Year,11116,41509,52625,41509,52625,4682,0.05,0.03,0.04,0.04,0,0.02,0.17,0.26,0.03,0.54,0.43,0.58
1,Oregon Health & Science University,Oregon,West,Pacific,65400,108300,79,10,Public,4 Year,,19176,19176,33666,33666,2861,0.01,0.1,0.01,0.05,0,0.04,0.21,0.02,0.03,0.73,0.65,0.35
1,Carnegie Mellon University,Pennsylvania,Northeast,Middle Atlantic,75900,136100,45,66,Private,4 Year,14418,55465,69883,55465,69883,12587,0,0.17,0.03,0.05,0,0.03,0.27,0.38,0.05,0.3,0.38,0.62
1,Brown University,Rhode Island,Northeast,New England,68200,127600,45,43,Private,4 Year,14670,55656,70326,55656,70326,9181,0,0.12,0.06,0.1,0,0.04,0.32,0.17,0.09,0.42,0.51,0.49
1,Citadel Military College South Carolina,South Carolina,South,South Atlantic,60400,108100,62,19,Public,4 Year,6904,14289,21193,36761,43665,,,,,,,,,,,,,
1,South Dakota School Mines and Technology,South Dakota,Midwest,West North Central,66500,118500,58,92,Public,4 Year,8440,9779,18219,14021,22461,2798,0.02,0.02,0.02,0.04,0,0.03,0.13,0.06,0.01,0.81,0.22,0.78
1,Vanderbilt University,Tennessee,South,East South Central,65400,119100,48,23,Private,4 Year,16234,49816,66050,49816,66050,12686,0,0.08,0.07,0.06,0,0.04,0.25,0.1,0.05,0.6,0.54,0.47
1,Rice University,Texas,South,West South Central,71000,129500,50,45,Private,4 Year,14000,47350,61350,47350,61350,6621,0,0.17,0.05,0.11,0,0.03,0.37,0.24,0.03,0.37,0.43,0.57
1,Brigham Young University Provo,Utah,West,Mountain,59200,108000,60,25,Private,4 Year,7628,5620,13248,5620,13248,30484,0,0.02,0.01,0.06,0.01,0.03,0.12,0.04,0.01,0.83,0.45,0.55
1,Middlebury College,Vermont,Northeast,New England,60400,109800,54,19,Private,4 Year,15530,54450,69980,54450,69980,2533,0,0.07,0.03,0.09,0,0.05,0.23,0.11,0.02,0.65,0.52,0.48
1,Washington and Lee University,Virginia,South,South Atlantic,65900,123200,40,18,Private,4 Year,13925,52455,66380,52455,66380,,,,,,,,,,,,,
1,Seattle University,Washington,West,Pacific,60600,113700,59,12,Private,4 Year,12288,44610,56898,44610,56898,7273,0.01,0.14,0.03,0.08,0.01,0.06,0.33,0.09,0.1,0.48,0.6,0.4
1,West Virginia University Institute Technology,West Virginia,South,South Atlantic,57100,103700,56,40,Public,4 Year,11390,7464,18854,18648,30038,1261,0,0.01,0.07,0.04,0,0.03,0.15,0.07,0.02,0.76,0.39,0.61
1,Milwaukee School Engineering,Wisconsin,Midwest,East North Central,65700,117600,50,69,Private,4 Year,10389,40749,51138,40749,51138,2810,0,0.03,0.03,0.04,0.01,0.02,0.12,0.12,0.07,0.69,0.24,0.76
1,University Wyoming,Wyoming,West,Mountain,52400,98800,58,25,Public,4 Year,10320,5400,15720,17490,27810,12820,0.01,0.01,0.01,0.06,0,0.02,0.11,0.07,0.08,0.74,0.52,0.48
2,University Alabama Huntsville,Alabama,South,East South Central,57500,103900,59,45,Public,4 Year,10094,10714,20808,22362,32456,7348,0.01,0.04,0.11,0.03,0,0.02,0.21,0.06,0.04,0.69,0.43,0.57
2,University Alaska Anchorage,Alaska,West,Pacific,56000,101000,57,10,Public,4 Year,12200,7688,19888,23858,36058,17151,0.06,0.07,0.03,0.07,0.01,0.09,0.33,0.02,0.07,0.58,0.58,0.42
2,University Arizona,Arizona,West,Mountain,56100,101000,51,23,Public,4 Year,12550,12487,25037,36386,48936,42236,0.01,0.06,0.03,0.22,0,0.04,0.37,0.09,0.03,0.52,0.52,0.48
2,Hendrix College,Arkansas,South,West South Central,48100,90300,58,33,Private,4 Year,12284,45790,58074,45790,58074,1358,0.02,0.06,0.05,0.05,0,0.01,0.18,0.06,0,0.76,0.55,0.45
2,Samuel Merritt University,California,West,Pacific,91200,154100,90,0,Public,2 Year,,1420,1420,9610,9610,1580,0,0.28,0.04,0.13,0.01,0.08,0.53,0.01,0.05,0.41,0.74,0.26
2,Goldey Beacom College,Delaware,South,South Atlantic,49800,86900,42,25,Private,4 Year,6400,24300,30700,24300,30700,2012,0,0.03,0.11,0.01,0,0.01,0.16,0.64,0.01,0.2,0.43,0.57
2,Emory University,Georgia,South,South Atlantic,62000,110800,44,20,Private,4 Year,14456,51306,65762,51306,65762,14769,0,0.15,0.1,0.06,0,0.02,0.34,0.16,0.05,0.45,0.57,0.44
2,Hawaii Pacific University,Hawaii,West,Pacific,52200,93500,56,15,Private,4 Year,14800,25980,40780,25980,40780,5827,0,0.16,0.06,0.13,0.02,0.17,0.54,0.14,0.02,0.29,0.57,0.43
2,Brigham Young University Idaho,Idaho,West,Mountain,53700,93500,59,14,Private,4 Year,4592,4118,8710,4118,8710,36624,0,0.01,0,0.02,0,0.04,0.08,0.1,0.27,0.55,0.58,0.42
2,Northwestern University,Illinois,Midwest,East North Central,63400,115400,46,20,Private,4 Year,16626,54567,71193,54567,71193,21554,0,0.13,0.05,0.08,0,0.03,0.29,0.16,0.07,0.48,0.47,0.53
2,University Notre Dame,Indiana,Midwest,East North Central,67000,130500,45,28,Private,4 Year,15410,53391,68801,53391,68801,12179,0,0.05,0.03,0.09,0,0.04,0.21,0.1,0.05,0.64,0.46,0.55
2,Drake University,Iowa,Midwest,West North Central,52800,99900,49,7,Private,4 Year,10528,41396,51924,41396,51924,5062,0,0.04,0.03,0.03,0,0.02,0.12,0.06,0.01,0.81,0.59,0.41
2,Kansas State University,Kansas,Midwest,West North Central,52500,97200,51,18,Public,4 Year,9680,10263,19943,25767,35447,24766,0,0.02,0.04,0.06,0,0.03,0.15,0.09,0.02,0.75,0.49,0.51
2,Thomas More College,Kentucky,South,East South Central,50000,90900,56,8,Private,4 Year,7950,31120,39070,31120,39070,1655,0,0.01,0.07,0.01,0,0.02,0.11,0.01,0.13,0.76,0.51,0.49
2,Louisiana State University and Agricultural & Mechanical College,Louisiana,South,West South Central,54800,102900,53,24,Public,4 Year,11830,11950,23780,28627,40457,,,,,,,,,,,,,
2,Bowdoin College,Maine,Northeast,New England,61300,112000,54,37,Private,4 Year,14698,53922,68620,53922,68620,1805,0,0.06,0.05,0.13,0,0.07,0.31,0.05,0.01,0.64,0.5,0.5
2,Capitol Technology University,Maryland,South,South Atlantic,67400,118400,63,88,Private,4 Year,5708,25428,31136,25428,31136,793,0.01,0.04,0.29,0.08,0,0.04,0.46,0.04,0.02,0.49,0.19,0.81
2,Harvard University,Massachusetts,Northeast,New England,74800,146800,54,19,Private,4 Year,17160,50420,67580,50420,67580,28791,0,0.15,0.05,0.08,0,0.04,0.32,0.17,0.06,0.46,0.49,0.52
2,Michigan Technological University,Michigan,Midwest,East North Central,65000,116300,47,81,Public,4 Year,10756,15646,26402,33726,44482,7099,0.01,0.01,0.01,0.02,0,0.02,0.07,0.15,0.03,0.75,0.26,0.74
2,Saint Johns University,Minnesota,Midwest,West North Central,59400,108400,45,25,Private,4 Year,10319,44990,55309,44990,55309,1895,0.01,0.03,0.03,0.05,0,0.01,0.13,0.06,0,0.81,0.03,0.97
2,University Mississippi,Mississippi,South,East South Central,48500,89100,55,12,Public,4 Year,10696,8660,19356,24614,35310,22503,0,0.02,0.14,0.03,0,0.02,0.21,0.04,0,0.75,0.56,0.44
2,Washington University St Louis,Missouri,Midwest,West North Central,64800,114900,42,30,Private,4 Year,16440,53399,69839,53399,69839,,,,,,,,,,,,,
2,Montana State University,Montana,West,Mountain,53700,96200,54,31,Public,4 Year,10100,7421,17521,24849,34949,14982,0.01,0.01,0.01,0.03,0,0.03,0.09,0.04,0.03,0.83,0.46,0.54
