Name,University_Name_Clean,State,State_Code,Type,Degree_Length,Room_And_Board,In_State_Tuition,In_State_Total,Out_Of_State_Tuition,Out_Of_State_Total
University of Minnesota: Duluth,University Minnesota Duluth,Minnesota,MN,Public,4 Year,7760,13367,21127,18485,26245
University of Minnesota: Morris,University Minnesota Morris,Minnesota,MN,Public,4 Year,8342,13314,21656,15342,23684
University of Minnesota: Rochester,University Minnesota Rochester,Minnesota,MN,Public,4 Year,9710,13352,23062,13352,23062
University of Minnesota: Twin Cities,University Minnesota Twin Cities,Minnesota,MN,Public,4 Year,10312,14693,25005,30371,40683
University of Mississippi,University Mississippi,Mississippi,MS,Public,4 Year,10696,8660,19356,24614,35310
University of Mississippi Medical Center,University Mississippi Medical Center,Mississippi,MS,Public,4 Year,,8433,8433,24731,24731
University of Missouri: Columbia,University Missouri Columbia,Missouri,MO,Public,4 Year,10786,12055,22841,29025,39811
University of Missouri: Kansas City,University Missouri Kansas City,Missouri,MO,Public,4 Year,10334,9884,20218,25010,35344
University of Missouri: St. Louis,University Missouri St Louis,Missouri,MO,Public,4 Year,9450,10491,19941,27900,37350
University of Mobile,University Mobile,Alabama,AL,Private,4 Year,9600,22820,32420,22820,32420
University of Montana,University Montana,Montana,MT,Public,4 Year,9544,7244,16788,24959,34503
University of Montana: Western,University Montana Western,Montana,MT,Public,4 Year,7950,5717,13667,17179,25129
University of Montevallo,University Montevallo,Alabama,AL,Public,4 Year,9330,12760,22090,25780,35110
University of Mount Olive,University Mount Olive,North Carolina,NC,Private,4 Year,8550,20600,29150,20600,29150
University of Mount Union,University Mount Union,Ohio,OH,Private,4 Year,10200,31260,41460,31260,41460
University of Nebraska - Kearney,University Nebraska Kearney,Nebraska,NE,Public,4 Year,9878,7513,17391,14503,24381
University of Nebraska - Lincoln,University Nebraska Lincoln,Nebraska,NE,Public,4 Year,11430,9154,20584,24949,36379
University of Nebraska - Omaha,University Nebraska Omaha,Nebraska,NE,Public,4 Year,9950,8417,18367,22689,32639
University of Nebraska Medical Center,University Nebraska Medical Center,Nebraska,NE,Public,4 Year,,11558,11558,28898,28898
University of Nevada: Las Vegas,University Nevada Las Vegas,Nevada,NV,Public,4 Year,10504,7985,18489,22457,32961
University of Nevada: Reno,University Nevada Reno,Nevada,NV,Public,4 Year,10868,7925,18793,22397,33265
University of New England,University New England,Maine,ME,Private,4 Year,13990,37620,51610,37620,51610
University of New Hampshire,University New Hampshire,New Hampshire,NH,Public,4 Year,11580,18499,30079,33879,45459
University of New Hampshire at Manchester,University New Hampshire Manchester,New Hampshire,NH,Public,4 Year,,15265,15265,30635,30635
University of New Haven,University New Haven,Connecticut,CT,Private,4 Year,15900,39270,55170,39270,55170
University of New Mexico,University New Mexico,New Mexico,NM,Public,4 Year,9864,5445,15309,26845,36709
University of New Orleans,University New Orleans,Louisiana,LA,Public,4 Year,10575,9054,19629,13890,24465
University of North Alabama,University North Alabama,Alabama,AL,Public,4 Year,9200,10370,19570,18680,27880
University of North Carolina at Asheville,University North Carolina Asheville,North Carolina,NC,Public,4 Year,9106,7145,16251,23868,32974
University of North Carolina at Chapel Hill,University North Carolina Chapel Hill,North Carolina,NC,Public,4 Year,11190,8987,20177,35170,46360
University of North Carolina at Charlotte,University North Carolina Charlotte,North Carolina,NC,Public,4 Year,11100,7044,18144,20478,31578
University of North Carolina at Greensboro,University North Carolina Greensboro,North Carolina,NC,Public,4 Year,9038,7319,16357,22478,31516
University of North Carolina at Pembroke,University North Carolina Pembroke,North Carolina,NC,Public,4 Year,8924,3418,12342,7418,16342
University of North Carolina at Wilmington,University North Carolina Wilmington,North Carolina,NC,Public,4 Year,10686,7000,17686,21065,31751
University of North Carolina School of the Arts,University North Carolina School Arts,North Carolina,NC,Public,4 Year,9021,9358,18379,25501,34522
University of North Dakota,University North Dakota,North Dakota,ND,Public,4 Year,8974,8695,17669,20759,29733
University of North Florida,University North Florida,Florida,FL,Public,4 Year,9976,6394,16370,20112,30088
University of North Georgia,University North Georgia,Georgia,GA,Public,4 Year,7876,7336,15212,21148,29024
University of North Texas,University North Texas,Texas,TX,Public,4 Year,9727,11250,20977,23700,33427
University of North Texas at DallasSystem,University North Texas DallasSystem,Texas,TX,Other,Other,,8448,8448,14640,14640
University of Northern Colorado,University Northern Colorado,Colorado,CO,Public,4 Year,11204,9786,20990,21474,32678
University of Northern Iowa,University Northern Iowa,Iowa,IA,Public,4 Year,8948,8938,17886,19480,28428
University of Northwestern - St. Paul,University Northwestern  St. Paul,Minnesota,MN,Private,4 Year,9460,31540,41000,31540,41000
University of Northwestern Ohio,University Northwestern Ohio,Ohio,OH,Private,4 Year,2850,10650,13500,10650,13500
University of Notre Dame,University Notre Dame,Indiana,IN,Private,4 Year,15410,53391,68801,53391,68801
University of Oklahoma,University Oklahoma Norman,Oklahoma,OK,Public,4 Year,10994,11763,22757,27144,38138
University of Oregon,University Oregon,Oregon,OR,Public,4 Year,12963,11898,24861,35478,48441
University of Pennsylvania,University Pennsylvania,Pennsylvania,PA,Private,4 Year,15616,55584,71200,55584,71200
University of Pikeville,University Pikeville,Kentucky,KY,Private,4 Year,7800,20950,28750,20950,28750
University of Pittsburgh,University Pittsburgh Pittsburgh,Pennsylvania,PA,Public,4 Year,11050,19080,30130,32052,43102
University of Pittsburgh at Bradford,University Pittsburgh Bradford,Pennsylvania,PA,Public,4 Year,9332,13900,23232,25144,34476
University of Pittsburgh at Greensburg,University Pittsburgh Greensburg,Pennsylvania,PA,Public,4 Year,,13890,13890,25134,25134
University of Pittsburgh at Johnstown,University Pittsburgh Johnstown,Pennsylvania,PA,Public,4 Year,9980,13878,23858,25122,35102
University of Pittsburgh at Titusville,University Pittsburgh Titusville,Pennsylvania,PA,Public,2 Year,10996,11788,22784,21532,32528
University of Portland,University Portland,Oregon,OR,Private,4 Year,13450,45904,59354,45904,59354
University of Puget Sound,University Puget Sound,Washington,WA,Private,4 Year,12540,49776,62316,49776,62316
University of Redlands,University Redlands,California,CA,Private,4 Year,14278,49504,63782,49504,63782
